Topic,Count,Name,Representation,Representative_Docs
-1,3075,-1_kerja_jadi_apa_punya,"['kerja', 'jadi', 'apa', 'punya', 'bencana', 'rakyat', 'kalo', 'pak', 'prabowo', 'presiden prabowo']","['ayah king abduloh kalo tau prabowo jadi presiden senengnya kaya apa beliau meninggal', 'sekolah rakyat jadi bukti presiden prabowo peduli sama peningkatan skill rakyatnya', 'tiba tiba berpikir keras kayanya kembaran dah lebih rekan kerja temen jaman jaman sperma gitu soalnya kan sperma lain egois berbagi sama pas jadi embrio hingga zigot pun berbagi']"
0,2365,0_prabowo_presiden prabowo_kembali_bencana,"['prabowo', 'presiden prabowo', 'kembali', 'bencana', 'rakyat', 'aceh', 'semua', 'punya', 'kata', 'jadi']","['presiden prabowo memastikan pembangunan akses darurat dipercepat supaya ekonomi warga kembali bergerak prabowo pulihkan infrastruktur jalan menuju bangkit pasca bencana', 'langkah cepat presiden prabowo bersama jajaran pemerintah membuka kembali akses masyarakat terdampak prabowo pulihkan infrastruktur supaya kehidupan sosial ekonomi bangkit pasca bencana', 'presiden prabowo berdiskusi intens jajaran pemerintah mempercepat akses darurat agar aktivitas warga kembali berjalan prabowo pulihkan infrastruktur bukti kepedulian negara bangkit pasca bencana']"
1,914,1_pak_kerja_indonesia_menlu,"['pak', 'kerja', 'indonesia', 'menlu', 'kemenlu', 'kata', 'orang', 'jadi', 'udah', 'adalah']","['pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab menunjukkan betapa kompeten layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab menunjukkan betapa kompeten layaknya seorang menteri ham', 'bertemu menlu kroasia komisi dpr indonesia kroasia bahas kerja sama dagang investasi jatim pedofil eminabeautycolab']"
2,807,2_sama_negara_menlu_bahwa,"['sama', 'negara', 'menlu', 'bahwa', 'orang', 'adalah', 'kalo', 'apa', 'rakyat', 'pak']","['heran membaca pernyataan venezuela sangat standar sama sekali menyebut amerika serikat sejak kapan sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang bersuara padahal dunia menunggu pandangan sbg pemain global south penting momen percaya diri menunjukkan sikap sama dulu menentang invasi thdp iraq bebas aktif artinya berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan hal prinsipil', 'heran membaca pernyataan venezuela sangat standar sama sekali menyebut amerika serikat sejak kapan sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang bersuara padahal dunia menunggu pandangan sbg pemain global south penting momen percaya diri menunjukkan sikap sama dulu menentang invasi thdp iraq bebas aktif artinya berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan hal prinsipil', 'heran membaca pernyataan venezuela sangat standar sama sekali menyebut amerika serikat sejak kapan sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang bersuara padahal dunia menunggu pandangan sbg pemain global south penting momen percaya diri menunjukkan sikap sama dulu menentang invasi thdp iraq bebas aktif artinya berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan hal prinsipil']"
3,305,3_udah_semua_jadi_para,"['udah', 'semua', 'jadi', 'para', 'presiden prabowo', 'prabowo', 'kata', 'apa', 'menlu', '']","['bukannya udah tempat seharusnya menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah rada rada semua', 'bukannya udah tempat seharusnya menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah rada rada semua', 'bukannya udah tempat seharusnya menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah rada rada semua']"
4,249,4_indonesia___,"['indonesia', '', '', '', '', '', '', '', '', '']","['selamat tahun baru semoga tahun baru dapat melangkah lebih baik semangat terus menyala demi indonesia semakin maju lebih baik', 'selamat tahun baru semoga tahun baru dapat melangkah lebih baik semangat terus menyala demi indonesia semakin maju lebih baik', 'selamat tahun baru semoga tahun baru dapat melangkah lebih baik semangat terus menyala demi indonesia semakin maju lebih baik']"
5,204,5_jadi_pak_udah_kalo,"['jadi', 'pak', 'udah', 'kalo', 'adalah', 'aceh', 'kata', 'rakyat', 'punya', 'menlu']","['sakit hati terbesar ngerelain udah tahun sakit hati terbesar pak anies jadi presiden', 'mundur pak jadi presiden', 'pak presiden jadi malu maluin']"
6,200,6_indonesia_kemenlu_sama_kerja,"['indonesia', 'kemenlu', 'sama', 'kerja', 'pak', '', '', '', '', '']","['reynhard inggris jelas super kriminal memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs saudi arabia malah dipojokkan pernyataan menko dubes saudi sungguh tak adil ironis selamat datang hrs ahlanwasahlanibhrs', 'reynhard inggris jelas super kriminal memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs saudi arabia malah dipojokkan pernyataan menko dubes saudi sungguh tak adil ironis selamat datang hrs ahlanwasahlanibhrs', 'reynhard inggris jelas super kriminal memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs saudi arabia malah dipojokkan pernyataan menko dubes saudi sungguh tak adil ironis selamat datang hrs ahlanwasahlanibhrs']"
7,123,7_menlu_kemenlu_apa_aceh,"['menlu', 'kemenlu', 'apa', 'aceh', 'jadi', 'tengah', 'kata', 'pak', 'orang', 'punya']","['menlu menkeu malu', 'menlu merangkap jubir akal akalan pilkada lewat dprd', 'antara menlu rencana akhiri krisis ukraina jauh selesai']"
8,122,8_indonesia_bahwa_menlu_kemenlu,"['indonesia', 'bahwa', 'menlu', 'kemenlu', 'nasional', 'orang', 'presiden prabowo', 'tengah', 'kata', 'prabowo']","['sebagian besar pemimpin bangsa beradab keluarkan pernyataan mengecam presiden trump menculik presiden venezuela nicolas maduro presiden indonesia', 'sebagian besar pemimpin bangsa beradab keluarkan pernyataan mengecam presiden trump menculik presiden venezuela nicolas maduro presiden indonesia', 'sebagian besar pemimpin bangsa beradab keluarkan pernyataan mengecam presiden trump menculik presiden venezuela nicolas maduro presiden indonesia']"
